id,dimensionName,dimensionValueID,dimensionValueDescription
CL_TIPO_DATO15,Tipo dato 15,FHOAWIDT,divorzi concessi dal tribunale con casa assegnata alla moglie (valori percentuali)
CL_TIPO_DATO15,Tipo dato 15,BRGRASM_FROM2017,sposi al secondo matrimonio o successivi  (%)
CL_TIPO_DATO15,Tipo dato 15,SWMOMUCP,separazioni con più di un figlio minore affidato (valori percentuali)
CL_TIPO_DATO15,Tipo dato 15,LIFEEXP0,speranza di vita alla nascita
CL_TIPO_DATO15,Tipo dato 15,NMCHUCS_C,numero di figli minori affidati nelle separazioni concesse dal tribunale
CL_TIPO_DATO15,Tipo dato 15,LEXISPOINT,punto di Lexis
CL_TIPO_DATO15,Tipo dato 15,BRASM_FROM2017,spose al secondo matrimonio o successivi  (%)
CL_TIPO_DATO15,Tipo dato 15,MUCOFPD,figli minori affidati esclusivamente al padre nei divorzi (valori percentuali)
CL_TIPO_DATO15,Tipo dato 15,NDWMNE,numero di divorzi consensuali extragiudiziali con assegno al coniuge
CL_TIPO_DATO15,Tipo dato 15,DWMACHPE,divorzi consensuali extragiudiziali con assegno ai figli (valori percentuali)
CL_TIPO_DATO15,Tipo dato 15,ALJPD,durata media del procedimento di divorzio giudiziale (in giorni)
CL_TIPO_DATO15,Tipo dato 15,MARRGPOP_103,matrimoni % rispetto al totale dei matrimoni (territorio 1992-2005)
CL_TIPO_DATO15,Tipo dato 15,CORE,trasferimenti di residenza
CL_TIPO_DATO15,Tipo dato 15,DWMAMPE,divorzi consensuali extragiudiziali con figli minori e assegno (valori percentuali)
CL_TIPO_DATO15,Tipo dato 15,IHFWP,divorzi con marito italiano per nascita e moglie straniera o italiana per acquisizione nei divorzi (valori percentuali)
CL_TIPO_DATO15,Tipo dato 15,FHONADT,divorzi concessi dal tribunale con abitazioni autonome e distinte (valori percentuali)
CL_TIPO_DATO15,Tipo dato 15,FHONAST,abitazioni autonome e distinte nelle separazioni concesse dal tribunale (valori percentuali)
CL_TIPO_DATO15,Tipo dato 15,NDWMNT,numero di divorzi  concessi dal tribunale con assegno al coniuge
CL_TIPO_DATO15,Tipo dato 15,CMARRGP_107,matrimoni civili % (territorio 2006-2009)
CL_TIPO_DATO15,Tipo dato 15,DWMNPE,divorzi consensuali extragiudiziali con assegno al coniuge (valori percentuali)
CL_TIPO_DATO15,Tipo dato 15,LIFEXP,speranza di vita - ex
CL_TIPO_DATO15,Tipo dato 15,IMMABRRATE,tasso immigratorio dall'estero (per mille abitanti)
CL_TIPO_DATO15,Tipo dato 15,EFINTNMIG,saldo migratorio con l'estero stimato
CL_TIPO_DATO15,Tipo dato 15,ASFR,tasso di fecondità specifica per età della madre
CL_TIPO_DATO15,Tipo dato 15,MARRG_107,matrimoni (territorio 2006-2009)
CL_TIPO_DATO15,Tipo dato 15,NMCHUCS_E,numero di figli minori affidati nelle separazioni consensuali extragiudiziali
CL_TIPO_DATO15,Tipo dato 15,MARRGP_110,matrimoni % (territorio 2010-2016)
CL_TIPO_DATO15,Tipo dato 15,FPOPCOM,popolazione straniera residente in convivenza
